"t","game_dt","active_state"
0.12000000002444722,0.12000000002444722,"Countdown"
0.20000000004074536,0.08000000001629815,"Countdown"
0.30000000006111804,0.10000000002037268,"Countdown"
0.4000000000814907,0.10000000002037268,"Countdown"
0.5000000001018634,0.10000000002037268,"Countdown"
0.6000000001222361,0.10000000002037268,"Countdown"
0.7000000001426088,0.10000000002037268,"Countdown"
0.8000000001629815,0.10000000002037268,"Countdown"
0.9200000001874287,0.12000000002444722,"Countdown"
1.0200000002078013,0.10000000002037268,"Countdown"
1.120000000228174,0.10000000002037268,"Countdown"
1.2000000002444722,0.08000000001629815,"Countdown"
1.3000000002648449,0.10000000002037268,"Countdown"
1.4000000002852175,0.10000000002037268,"Countdown"
1.5000000003055902,0.10000000002037268,"Countdown"
1.600000000325963,0.10000000002037268,"Countdown"
1.7000000003463356,0.10000000002037268,"Countdown"
1.8000000003667083,0.10000000002037268,"Countdown"
1.900000000387081,0.10000000002037268,"Countdown"
2.0000000004074536,0.10000000002037268,"Countdown"
2.1000000004278263,0.10000000002037268,"Countdown"
2.2200000004522735,0.12000000002444722,"Countdown"
2.320000000472646,0.10000000002037268,"Countdown"
2.420000000493019,0.10000000002037268,"Countdown"
2.5200000005133916,0.10000000002037268,"Countdown"
2.6200000005337643,0.10000000002037268,"Countdown"
2.720000000554137,0.10000000002037268,"Countdown"
2.8200000005745096,0.10000000002037268,"Countdown"
2.9200000005948823,0.10000000002037268,"Countdown"
3.020000000615255,0.10000000002037268,"Countdown"
3.1200000006356277,0.10000000002037268,"Countdown"
3.2200000006560003,0.10000000002037268,"Ascending"
3.320000000676373,0.10000000002037268,"Ascending"
3.4200000006967457,0.10000000002037268,"Ascending"
3.5200000007171184,0.10000000002037268,"Ascending"
3.620000000737491,0.10000000002037268,"Ascending"
3.7200000007578637,0.10000000002037268,"Ascending"
3.8200000007782364,0.10000000002037268,"Ascending"
3.920000000798609,0.10000000002037268,"Ascending"
4.020000000818982,0.10000000002037268,"Ascending"
4.060000000827131,0.04000000000814907,"Ascending"
4.080000000831205,0.020000000004074536,"Ascending"
4.10000000083528,0.020000000004074536,"Ascending"
4.180000000851578,0.08000000001629815,"Ascending"
4.300000000876025,0.12000000002444722,"Ascending"
4.400000000896398,0.10000000002037268,"Ascending"
4.500000000916771,0.10000000002037268,"Ascending"
4.600000000937143,0.10000000002037268,"Ascending"
4.700000000957516,0.10000000002037268,"Ascending"
4.800000000977889,0.10000000002037268,"Ascending"
4.900000000998261,0.10000000002037268,"Ascending"
5.000000001018634,0.10000000002037268,"Ascending"
5.100000001039007,0.10000000002037268,"Ascending"
5.200000001059379,0.10000000002037268,"Ascending"
5.300000001079752,0.10000000002037268,"Ascending"
5.400000001100125,0.10000000002037268,"Ascending"
5.5000000011204975,0.10000000002037268,"Ascending"
5.60000000114087,0.10000000002037268,"Ascending"
5.700000001161243,0.10000000002037268,"Ascending"
5.8000000011816155,0.10000000002037268,"Ascending"
5.900000001201988,0.10000000002037268,"Ascending"
6.000000001222361,0.10000000002037268,"Ascending"
6.100000001242734,0.10000000002037268,"Ascending"
6.200000001263106,0.10000000002037268,"Ascending"
6.300000001283479,0.10000000002037268,"Ascending"
6.400000001303852,0.10000000002037268,"Ascending"
6.500000001324224,0.10000000002037268,"Ascending"
6.600000001344597,0.10000000002037268,"Ascending"
6.70000000136497,0.10000000002037268,"Ascending"
6.800000001385342,0.10000000002037268,"Ascending"
6.9200000014097895,0.12000000002444722,"Ascending"
7.020000001430162,0.10000000002037268,"Ascending"
7.120000001450535,0.10000000002037268,"Ascending"
7.220000001470908,0.10000000002037268,"Ascending"
7.32000000149128,0.10000000002037268,"Ascending"
7.420000001511653,0.10000000002037268,"Ascending"
7.520000001532026,0.10000000002037268,"Ascending"
7.620000001552398,0.10000000002037268,"Ascending"
7.720000001572771,0.10000000002037268,"Ascending"
7.820000001593144,0.10000000002037268,"Ascending"
7.920000001613516,0.10000000002037268,"Ascending"
8.020000001633889,0.10000000002037268,"Ascending"
8.120000001654262,0.10000000002037268,"Ascending"
8.220000001674634,0.10000000002037268,"Ascending"
8.320000001695007,0.10000000002037268,"Ascending"
8.42000000171538,0.10000000002037268,"Ascending"
8.520000001735752,0.10000000002037268,"Ascending"
8.620000001756125,0.10000000002037268,"Ascending"
8.720000001776498,0.10000000002037268,"Ascending"
8.82000000179687,0.10000000002037268,"Ascending"
8.920000001817243,0.10000000002037268,"Ascending"
9.04000000184169,0.12000000002444722,"Ascending"
9.140000001862063,0.10000000002037268,"Ascending"
9.240000001882436,0.10000000002037268,"Ascending"
9.340000001902808,0.10000000002037268,"Ascending"
9.440000001923181,0.10000000002037268,"Ascending"
9.52000000193948,0.08000000001629815,"Ascending"
9.620000001959852,0.10000000002037268,"Ascending"
9.720000001980225,0.10000000002037268,"Ascending"
9.820000002000597,0.10000000002037268,"Ascending"
9.92000000202097,0.10000000002037268,"Ascending"
10.020000002041343,0.10000000002037268,"Ascending"
10.120000002061715,0.10000000002037268,"Ascending"
10.240000002086163,0.12000000002444722,"Ascending"
10.340000002106535,0.10000000002037268,"Ascending"
10.440000002126908,0.10000000002037268,"Ascending"
10.54000000214728,0.10000000002037268,"Ascending"
10.640000002167653,0.10000000002037268,"Ascending"
10.740000002188026,0.10000000002037268,"Ascending"
10.840000002208399,0.10000000002037268,"Ascending"
10.940000002228771,0.10000000002037268,"Ascending"
11.040000002249144,0.10000000002037268,"Ascending"
11.140000002269517,0.10000000002037268,"Ascending"
11.24000000228989,0.10000000002037268,"Ascending"
